PUSH  FIND  POP
4406     604     6774     
4411     604     6781     
4415     605     6788     
4419     606     6796     
4423     607     6803     
4427     608     6810     
4432     609     6817     
4436     610     6825     
4441     610     6832     
4445     611     6839     
4449     612     6846     
4454     613     6853     
4459     614     6860     
4463     615     6867     
4468     615     6874     
4472     616     6881     
4477     616     6888     
4481     617     6896     
4485     618     6903     
4489     619     6910     
4493     620     6917     
4497     621     6925     
4502     621     6932     
4507     621     6939     
4511     622     6946     
4515     623     6953     
4520     624     6970     
4524     624     6977     
4528     625     6984     
4532     625     6990     
4537     626     6997     
4541     627     7004     
4545     627     7010     
4549     627     7016     
4553     628     7023     
4557     628     7030     
4561     629     7037     
4565     629     7044     
4569     630     7051     
4573     630     7058     
4577     631     7065     
4581     632     7072     
4586     633     7079     
4590     633     7086     
4595     634     7093     
4599     634     7099     
4603     635     7105     
4608     635     7111     
4613     635     7118     
4618     636     7125     
4623     636     7131     
4627     636     7138     
4631     636     7145     
4635     637     7152     
4639     638     7159     
4643     638     7166     
4647     639     7173     
4651     639     7180     
4655     639     7186     
4660     640     7192     
4664     641     7199     
4669     642     7206     
4673     643     7214     
4678     644     7221     
4682     644     7228     
4687     645     7235     
4692     645     7242     
4697     645     7249     
4702     645     7256     
4707     645     7263     
4712     645     7270     
4716     646     7278     
4720     646     7285     
4724     647     7292     
4728     648     7299     
4733     649     7317     
4737     650     7324     
4741     651     7331     
4745     651     7338     
4750     651     7345     
4755     651     7352     
4760     652     7358     
4765     652     7365     
4769     653     7372     
4773     653     7378     
4778     654     7384     
4782     655     7391     
4786     656     7398     
4791     657     7404     
4796     658     7410     
4801     659     7417     
4805     660     7424     
4809     661     7431     
4814     662     7438     
4818     663     7445     
4823     664     7451     
4828     664     7457     
4833     665     7476     
4837     666     7484     
4842     666     7491     
4848     667     7498     
4853     668     7505     
4858     668     7512     
4863     669     7519     
4867     670     7526     
4872     671     7533     
4877     671     7540     
4882     671     7547     
4886     671     7554     
4891     671     7561     
4896     672     7568     
4901     672     7575     
4906     673     7582     
4910     674     7589     
4914     675     7597     
4918     675     7604     
4922     675     7611     
4927     675     7618     
4931     676     7625     
4936     677     7632     
4941     678     7640     
4946     678     7647     
4951     679     7654     
4956     680     7661     
4961     681     7668     
4966     682     7675     
4970     683     7682     
4975     684     7689     
4980     685     7696     
4985     686     7703     
4990     687     7710     
4995     687     7717     
5000     687     7724     
5005     687     7731     
5009     688     7738     
5014     689     7745     
5018     690     7752     
5022     690     7759     
5027     690     7766     
5032     691     7774     
5036     692     7781     
5042     693     7788     
5046     693     7795     
5051     694     7802     
5056     694     7809     
5061     694     7816     
5066     695     7823     
5070     696     7831     
5075     697     7838     
5080     697     7845     
5084     698     7852     
5089     699     7859     
5094     700     7866     
5098     701     7874     
5103     701     7881     
5107     702     7888     
5112     703     7895     
5116     703     7902     
5121     703     7909     
5126     704     7917     
5131     705     7932     
5136     706     7939     
5140     707     7946     
5145     708     7953     
5150     708     7960     
5155     709     7968     
5160     709     7975     
5165     709     7982     
5169     710     7989     
5174     711     7996     
5179     711     8003     
5184     712     8010     
5188     713     8017     
5192     714     8024     
5196     714     8031     
5201     714     8039     
5206     714     8046     
5210     715     8054     
5215     716     8061     
5219     717     8068     
5223     717     8075     
5228     718     8082     
5232     719     8089     
5237     720     8096     
5242     721     8103     
5247     721     8110     
5252     722     8117     
5256     723     8124     
5261     724     8131     
5265     725     8138     
5270     725     8145     
5274     726     8152     
5278     727     8159     
5283     727     8166     
5288     727     8173     
5293     728     8180     
5298     729     8187     
5303     729     8193     
5307     730     8200     
5311     730     8207     
5316     730     8213     
5320     730     8219     
5324     731     8226     
5328     732     8232     
5332     732     8238     
5336     732     8245     
5341     733     8252     
5345     734     8259     
5350     735     8265     
5355     736     8272     
5360     737     8279     
5364     737     8286     
5368     738     8293     
5373     739     8300     
5377     740     8307     
5381     740     8314     
5385     740     8321     
5389     741     8328     
5394     742     8335     
5399     743     8342     
5404     744     8348     
5409     744     8355     
5414     745     8361     
5419     745     8368     
5423     746     8375     
5427     747     8382     
5432     748     8390     
5437     749     8398     
5442     750     8406     
5447     750     8413     
5452     751     8420     
5456     752     8428     
5461     753     8436     
5465     754     8443     
5470     755     8450     
5474     756     8458     
5478     757     8466     
5483     758     8473     
5488     759     8480     
5493     759     8487     
5497     760     8494     
5502     761     8501     
5507     762     8508     
5511     763     8515     
5516     764     8522     
5521     765     8529     
5526     766     8536     
5530     767     8542     
5534     768     8550     
5538     769     8557     
5542     770     8564     
5546     771     8571     
5551     772     8578     
5555     773     8585     
5559     774     8591     
5562     775     8598     
5566     776     8605     
5570     776     8612     
5574     777     8618     
5578     778     8625     
5583     779     8632     
5587     779     8639     
5591     780     8646     
5595     780     8652     
5599     781     8658     
5603     782     8666     
5608     783     8673     
5613     784     8680     
5617     785     8687     
5621     786     8694     
5625     786     8700     
5629     787     8707     
5633     787     8714     
5637     787     8721     
5641     788     8727     
5645     789     8734     
5649     789     8741     
5654     789     8747     
5658     790     8754     
5663     791     8761     
5668     792     8768     
5673     793     8775     
5677     794     8782     
5681     794     8789     
5686     794     8796     
5691     795     8803     
5696     796     8810     
5701     796     8817     
5705     797     8824     
5710     797     8831     
5715     797     8838     
5720     798     8845     
5724     799     8853     
5729     800     8860     
5734     800     8867     
5739     800     8874     
5744     801     8881     
5748     802     8888     
5752     803     8895     
5780     804     8902     
5785     804     8909     
5790     804     8916     
5795     805     8923     
5800     806     8930     
5805     807     8937     
5809     808     8943     
5814     808     8950     
5819     809     8957     
5824     809     8964     
5829     809     8971     
5834     810     8978     
5838     811     8985     
5842     812     8992     
5847     812     8999     
5851     813     9007     
5855     813     9014     
5860     814     9021     
5864     815     9028     
5868     816     9035     
5872     817     9042     
5877     817     9049     
5882     817     9056     
5887     817     9063     
5892     818     9070     
5896     819     9077     
5901     820     9084     
5906     820     9091     
5911     821     9098     
5915     822     9106     
5919     823     9114     
5923     824     9121     
5928     825     9128     
5933     826     9135     
5937     827     9143     
5942     828     9150     
5946     829     9157     
5951     829     9164     
5956     830     9171     
5961     831     9178     
5966     832     9185     
5971     832     9192     
5975     833     9199     
5979     833     9206     
5984     833     9213     
5988     834     9220     
5993     835     9228     
5997     836     9235     
6002     836     9242     
6006     836     9249     
6011     836     9256     
6015     837     9263     
6019     838     9271     
6023     838     9278     
6027     839     9285     
6031     840     9291     
6036     840     9298     
6040     841     9304     
6045     842     9311     
6050     842     9318     
6055     842     9325     
6059     843     9332     
6063     844     9339     
6068     845     9346     
6072     846     9353     
6077     847     9360     
6083     848     9367     
6088     848     9374     
6093     848     9381     
6098     849     9388     
6102     850     9395     
6107     850     9402     
6112     851     9409     
6117     852     9416     
6122     852     9423     
6127     853     9431     
6132     854     9438     
6136     855     9446     
6141     855     9453     
6146     856     9460     
6151     856     9467     
6156     857     9474     
6160     858     9482     
6165     859     9489     
6170     860     9497     
6175     861     9504     
6180     862     9511     
6185     862     9518     
6190     863     9525     
6195     863     9532     
6200     864     9539     
6205     865     9546     
6209     866     9553     
6215     867     9560     
6220     867     9567     
6224     868     9574     
6228     869     9581     
6233     869     9588     
6238     870     9595     
6243     870     9602     
6248     870     9609     
6252     871     9616     
6257     871     9623     
6261     872     9629     
6265     873     9637     
6269     874     9644     
6273     875     9651     
6278     875     9658     
6283     875     9665     
6287     875     9672     
6292     876     9679     
6298     877     9688     
6303     878     9695     
6307     878     9702     
6312     879     9708     
6317     880     9715     
6321     881     9721     
6325     881     9728     
6330     881     9735     
6334     882     9741     
6338     883     9748     
6343     884     9755     
6348     885     9762     
6352     885     9770     
6357     886     9777     
6362     887     9784     
6367     887     9791     
6371     888     9799     
6376     888     9806     
6381     888     9813     
6386     889     9821     
6391     889     9829     
6396     890     9836     
6401     890     9843     
6406     891     9850     
6410     892     9858     
6415     892     9866     
6419     892     9873     
6423     892     9880     
6428     893     9888     
6433     894     9896     
6438     895     9904     
6443     896     9911     
6448     897     9919     
6453     898     9926     
6458     898     9933     
6462     898     9940     
6467     899     9948     
6472     900     9955     
6477     901     9962     
6482     902     9969     
6486     903     9976     
6490     903     9983     
6495     904     9989     
6500     905     9996     
6505     906     10003     
6510     906     10010     
6514     906     10017     
6518     907     10024     
6523     908     10031     
6527     909     10038     
6532     910     10045     
6536     911     10053     
6541     911     10060     
6545     912     10067     
6549     913     10076     
6555     914     10084     
6560     915     10093     
6564     916     10100     
6568     916     10107     
6573     916     10114     
6577     917     10120     
6581     917     10127     
6586     917     10136     
6591     918     10145     
6595     919     10152     
6600     920     10158     
6604     921     10165     
6608     922     10171     
6612     923     10178     
6617     923     10185     
6621     924     10192     
6626     924     10199     
6631     925     10206     
6635     925     10213     
6640     925     10220     
6645     925     10226     
6650     926     10233     
6654     927     10239     
6659     928     10245     
6663     928     10251     
6667     929     10257     
6671     929     10263     
6675     929     10270     
6679     930     10277     
6683     931     10284     
6687     932     10291     
6690     933     10298     
6694     933     10305     
6699     933     10312     
6703     934     10319     
6707     935     10326     
6711     935     10333     
6716     935     10340     
6720     936     10347     
6725     936     10353     
6729     936     10360     
6734     937     10367     
6738     938     10374     
6742     938     10380     
6746     938     10386     
6750     938     10393     
6755     939     10400     
6760     940     10406     
6764     940     10413     
6768     940     10420     
6773     941     10426     
6777     942     10433     
6782     943     10440     
6786     943     10447     
6791     944     10454     
6795     945     10461     
6800     945     10468     
6804     946     10475     
6809     946     10482     
6814     947     10489     
6818     948     10496     
6824     949     10503     
6828     950     10510     
6833     950     10517     
6837     951     10524     
6842     952     10531     
6847     953     10539     
6852     954     10546     
6856     955     10552     
6861     956     10560     
6866     956     10567     
6871     956     10574     
6875     957     10581     
6880     958     10588     
6885     959     10595     
6890     960     10602     
6902     960     10609     
6907     960     10616     
6911     961     10623     
6915     961     10630     
6920     961     10637     
6924     962     10645     
6929     963     10652     
6934     964     10659     
6939     965     10667     
6943     966     10674     
6948     966     10681     
6952     967     10688     
6956     968     10695     
6960     969     10702     
6965     969     10709     
6970     970     10716     
6975     971     10723     
6979     971     10730     
6983     972     10737     
6987     973     10744     
6991     974     10752     
6996     975     10759     
7000     976     10766     
7005     977     10773     
7009     978     10780     
7014     979     10787     
7019     979     10794     
7024     980     10801     
7029     981     10808     
7033     981     10815     
7038     982     10822     
7043     983     10829     
7048     983     10836     
7052     984     10844     
7057     985     10851     
7062     985     10858     
7067     985     10865     
7072     986     10872     
7077     986     10879     
7081     987     10886     
7086     988     10893     
7090     989     10900     
7095     990     10907     
7099     991     10914     
7104     991     10921     
7108     992     10928     
7113     992     10935     
7118     992     10942     
7123     992     10949     
7128     993     10956     
7132     993     10963     
7137     993     10970     
7142     993     10977     
7146     994     10984     
7151     995     10991     
7156     996     10998     
7160     997     11005     
7165     998     11012     
7169     999     11019     
7174     1000     11026     
7179     1000     11033     
7183     1000     11040     
7188     1001     11047     
7193     1001     11054     
7197     1001     11061     
7202     1001     11068     
7207     1001     11075     
7211     1002     11082     
7216     1002     11089     
7221     1002     11096     
7225     1002     11104     
7230     1002     11112     
7235     1002     11119     
7240     1003     11126     
7245     1003     11133     
7250     1004     11140     
7254     1005     11147     
7259     1006     11154     
7264     1007     11161     
7268     1007     11168     
7273     1008     11176     
7277     1009     11183     
7282     1010     11191     
7287     1010     11198     
7292     1010     11205     
7297     1011     11212     
7301     1012     11219     
7306     1012     11226     
7310     1013     11233     
7315     1013     11240     
7320     1014     11247     
7324     1015     11255     
7328     1015     11262     
7333     1016     11269     
7338     1016     11276     
7343     1017     11283     
7347     1018     11290     
7352     1019     11297     
7356     1020     11304     
7361     1021     11312     
7366     1022     11319     
7371     1023     11326     
7376     1024     11333     
7381     1024     11340     
7386     1024     11347     
7390     1025     11354     
7394     1026     11361     
7399     1026     11368     
7403     1027     11375     
7408     1027     11382     
7412     1028     11390     
7417     1029     11397     
7422     1029     11404     
7427     1029     11411     
7431     1029     11418     
7434     1030     11425     
7438     1031     11432     
7443     1032     11438     
7447     1032     11445     
7452     1033     11451     
7456     1033     11457     
7460     1033     11464     
7464     1034     11471     
7468     1035     11478     
7473     1035     11485     
7477     1036     11492     
7481     1037     11498     
7485     1038     11505     
7489     1039     11512     
7493     1040     11519     
7497     1041     11526     
7502     1042     11534     
7507     1043     11541     
7511     1043     11548     
7516     1044     11554     
7521     1045     11561     
7525     1046     11567     
7530     1047     11574     
7534     1047     11581     
7539     1048     11588     
7543     1048     11594     
7547     1049     11601     
7551     1050     11608     
7555     1051     11614     
7559     1052     11621     
7563     1052     11628     
7567     1053     11635     
7572     1054     11642     
7576     1054     11648     
7580     1055     11655     
7584     1056     11661     
7590     1056     11668     
7594     1057     11675     
7599     1058     11682     
7604     1059     11689     
7609     1059     11696     
7613     1060     11703     
7618     1060     11710     
7622     1061     11717     
7627     1061     11724     
7632     1061     11731     
7637     1061     11738     
7641     1062     11745     
7646     1063     11752     
7650     1064     11759     
7655     1065     11767     
7660     1065     11774     
7665     1066     11781     
7670     1066     11788     
7675     1067     11795     
7680     1067     11802     
7684     1068     11810     
7688     1068     11817     
7693     1069     11824     
7697     1070     11831     
7702     1070     11838     
7707     1071     11845     
7711     1072     11852     
7715     1073     11859     
7720     1074     11866     
7725     1074     11873     
7729     1074     11880     
7734     1075     11888     
7739     1076     11895     
7744     1076     11902     
7749     1076     11909     
7754     1077     11916     
7759     1078     11923     
7764     1078     11930     
7768     1079     11938     
7772     1080     11946     
7777     1080     11953     
7782     1080     11960     
7786     1080     11967     
7791     1080     11974     
7796     1080     11981     
7801     1080     11988     
